date,value
1997-03-01,468.024
1997-04-01,442.41
1997-05-01,436.897
1997-06-01,438.827
1997-07-01,479.085
1997-08-01,466.343
1997-09-01,440.166
1997-10-01,457.985
1997-11-01,462.359
1997-12-01,514.659
1998-01-01,508.45
1998-02-01,451.377
1998-03-01,481.29
1998-04-01,445.375
1998-05-01,447.115
1998-06-01,460.796
1998-07-01,492.625
1998-08-01,491.965
1998-09-01,454.081
1998-10-01,451.499
1998-11-01,445.639
1998-12-01,501.189
1999-01-01,524.294
1999-02-01,458.793
1999-03-01,493.685
1999-04-01,453.359
1999-05-01,446.877
1999-06-01,457.608
1999-07-01,494.313
1999-08-01,494.352
1999-09-01,448.93
1999-10-01,459.907
1999-11-01,449.297
1999-12-01,511.556
2000-01-01,530.171
2000-02-01,496.136
2000-03-01,487.026
2000-04-01,446.868
2000-05-01,470.073
2000-06-01,473.651
2000-07-01,487.849
2000-08-01,510.221
2000-09-01,462.73
2000-10-01,469.45
2000-11-01,476.709
2000-12-01,555.668
2001-01-01,554.872
2001-02-01,484.1
2001-03-01,508.37
2001-04-01,457.43
2001-05-01,458.937
2001-06-01,456.981
2001-07-01,492.277
2001-08-01,501.56
2001-09-01,444.077
2001-10-01,461.413
2001-11-01,450.751
2001-12-01,493.92
2002-01-01,520.354
2002-02-01,464.02
2002-03-01,497.044
2002-04-01,459.302
2002-05-01,460.211
2002-06-01,466
2002-07-01,501.638
2002-08-01,499.504
2002-09-01,460.705
2002-10-01,470.323
2002-11-01,481.133
2002-12-01,529.008
2003-01-01,552.616
2003-02-01,504.412
2003-03-01,501.912
2003-04-01,456.166
2003-05-01,452.425
2003-06-01,455.339
2003-07-01,495.127
2003-08-01,505.042
2003-09-01,457.636
2003-10-01,470.665
2003-11-01,472.983
2003-12-01,535.564
2004-01-01,559.581
2004-02-01,520.771
2004-03-01,502.756
2004-04-01,463.983
2004-05-01,476.639
2004-06-01,475.341
2004-07-01,502.371
2004-08-01,499.247
2004-09-01,467.992
2004-10-01,476.932
2004-11-01,485.72
2004-12-01,547.477
2005-01-01,552.86
2005-02-01,494.174
2005-03-01,522.039
2005-04-01,460.947
2005-05-01,470.937
2005-06-01,486.825
2005-07-01,513.228
2005-08-01,520.924
2005-09-01,472.861
2005-10-01,473.63
2005-11-01,477.942
2005-12-01,552.785
2006-01-01,520.776
2006-02-01,485.966
2006-03-01,511.07
2006-04-01,453.45
2006-05-01,467.273
2006-06-01,480.185
2006-07-01,513.89
2006-08-01,523.21
2006-09-01,465.681
2006-10-01,485.31
2006-11-01,479.581
2006-12-01,527.357
2007-01-01,542.459
2007-02-01,520.838
2007-03-01,507.043
2007-04-01,468.848
2007-05-01,473.654
2007-06-01,481.395
2007-07-01,505.508
2007-08-01,528.372
2007-09-01,475.942
2007-10-01,477.378
2007-11-01,481.783
2007-12-01,539.876
2008-01-01,554.845
2008-02-01,511.062
2008-03-01,505.418
2008-04-01,462.002
2008-05-01,460.449
2008-06-01,467.841
2008-07-01,494.487
2008-08-01,484.778
2008-09-01,436.549
2008-10-01,461.35
2008-11-01,461.709
2008-12-01,516.08
2009-01-01,532.421
2009-02-01,455.59
2009-03-01,459.99
2009-04-01,417.775
2009-05-01,411.242
2009-06-01,427.586
2009-07-01,446.361
2009-08-01,457.824
2009-09-01,416.457
2009-10-01,431.286
2009-11-01,426.371
2009-12-01,509.121
2010-01-01,523.486
2010-02-01,470.7
2010-03-01,468.248
2010-04-01,419.748
2010-05-01,434.845
2010-06-01,456.585
2010-07-01,483.733
2010-08-01,489.816
2010-09-01,441.021
2010-10-01,426.412
2010-11-01,443.281
2010-12-01,526.7
2011-01-01,528.587
2011-02-01,453.845
2011-03-01,463.802
2011-04-01,417.827
2011-05-01,424.842
2011-06-01,444.399
2011-07-01,475.396
2011-08-01,479.415
2011-09-01,427.613
2011-10-01,424.121
2011-11-01,431.708
2011-12-01,474.33
2012-01-01,476.671
2012-02-01,439.537
2012-03-01,416.826
2012-04-01,390.199
2012-05-01,414.059
2012-06-01,426.883
2012-07-01,466.927
2012-08-01,463.196
2012-09-01,410.833
2012-10-01,422.288
2012-11-01,438.05
2012-12-01,463.494
2013-01-01,493.996
2013-02-01,441.896
2013-03-01,463.707
2013-04-01,409.192
2013-05-01,413.849
2013-06-01,424.084
2013-07-01,459.146
2013-08-01,456.023
2013-09-01,424.648
2013-10-01,424.537
2013-11-01,445.965
2013-12-01,498.991
2014-01-01,532.906
2014-02-01,473.39
2014-03-01,469.453
2014-04-01,409.914
2014-05-01,415.979
2014-06-01,426.162
2014-07-01,456.796
2014-08-01,457.388
2014-09-01,422.056
2014-10-01,425.368
2014-11-01,447.081
2014-12-01,476.744
2015-01-01,506.656
2015-02-01,472.128
2015-03-01,455.827
2015-04-01,395.961
2015-05-01,409.609
2015-06-01,431.091
2015-07-01,463.752
2015-08-01,454.891
2015-09-01,418.555
2015-10-01,409.788
2015-11-01,406.268
2015-12-01,438.316
2016-01-01,483.092
2016-02-01,433.756
2016-03-01,410.082
2016-04-01,382.777
2016-05-01,390.22
2016-06-01,424.854
2016-07-01,459.208
2016-08-01,466.718
2016-09-01,418.348
2016-10-01,409.037
2016-11-01,406.094
2016-12-01,486.324
2017-01-01,477.371
2017-02-01,396.656
2017-03-01,435.599
2017-04-01,383.33
2017-05-01,404.22
2017-06-01,415.646
2017-07-01,451.243
2017-08-01,444.151
2017-09-01,402.691
2017-10-01,407.717
2017-11-01,425.783
2017-12-01,486.169
2018-01-01,512.76
2018-02-01,415.379
2018-03-01,447.494
2018-04-01,403.548
2018-05-01,407.095
2018-06-01,420.973
2018-07-01,454.267
2018-08-01,459.615
2018-09-01,414.697
2018-10-01,426.469
2018-11-01,448.639
2018-12-01,473.473
2019-01-01,499.332
2019-02-01,432.429
2019-03-01,448.327
2019-04-01,383.076
2019-05-01,398.985
2019-06-01,402.018
2019-07-01,442.524
2019-08-01,443.856
2019-09-01,403.675
2019-10-01,404.499
2019-11-01,432.499
2019-12-01,455.05
2020-01-01,449.335
2020-02-01,414.846
2020-03-01,385.464
2020-04-01,305.588
2020-05-01,319.139
2020-06-01,348.766
2020-07-01,406.645
2020-08-01,407.292
