code,date,value,description
CKTCEUS,197808,120.493,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197809,114.278,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197810,110.781,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197811,110.781,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197812,120.656,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197813,1298.098,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197901,126.512,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197902,112.547,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197903,113.565,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197904,107.233,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197905,112.814,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197906,116.491,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197907,125.107,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197908,125.88,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197909,112.67,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197910,115.278,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197911,115.374,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197912,126.32,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197913,1409.79,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198001,130.695,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198002,122.374,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198003,120.529,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198004,107.875,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198005,108.091,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198006,114.386,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198007,128.154,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198008,127.548,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198009,116.528,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198010,113.503,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198011,116.047,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,198012,129.468,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
